H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20050701|20050701|A000|THB||1111005642|29000.00|5300036822|2005|9200033285|2005|20050704|2342682
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20050801|20050801|A000|THB||1111005642|29000.00|5300042991|2005|9200039140|2005|20050801|2372600
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20050901|20050901|A000|THB||1111005642|29000.00|5300048334|2005|9200044303|2005|20050901|2405342
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20051001|20051001|A000|THB||1111005642|29000.00|5300053915|2005|9200049750|2005|20051003|2436763
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20051101|20051101|A000|THB||1111005642|29000.00|5300058700|2005|9200054808|2005|20051101|2467955
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20051201|20051201|A000|THB||1111005642|29000.00|5300063151|2005|9200061083|2005|20051201|2500500
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20060101|20060101|A000|THB||1111005642|29000.00|5300000547|2006|9200000530|2006|20060104|2530305
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20060201|20060201|A000|THB||1111005642|29000.00|5300003903|2006|9200005720|2006|20060201|2556341
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20060301|20060301|A000|THB||1111005642|29000.00|5300008121|2006|9200011149|2006|20060301|
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20060401|20060401|A000|THB||1111005642|29000.00|5300012468|2006|9200017780|2006|20060403|
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20060501|20060501|A000|THB||1111005642|29000.00|5300017248|2006|9200024215|2006|20060502|
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20060601|20060601|A000|THB||1111005642|29000.00|5300022295|2006|9200031584|2006|20060601|
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20060701|20060701|A000|THB||1111005642|29000.00|5300026173|2006|9200042048|2006|20060703|
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20060801|20060801|A000|THB||1111005642|29000.00|5300030940|2006|9200052672|2006|20060801|
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20060901|20060901|A000|THB||1111005642|29000.00|5300035291|2006|9200067700|2006|20060901|
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20061001|20061001|A000|THB||1111005642|29000.00|5300039846|2006|9200088778|2006|20061002|
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20061101|20061101|A000|THB||1111005642|29000.00|5300044087|2006|9200107525|2006|20061101|
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20061201|20061201|A000|THB||1111005642|29000.00|5300048206|2006|9200156147|2006|20061201|
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20070101|20070101|A000|THB||1111005642|29000.00|5300000662|2007|9200000498|2007|20070103|
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20070201|20070201|A000|THB||1111005642|29000.00|5300004007|2007|9200041828|2007|20070201|
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20070301|20070301|A000|THB||1111005642|29000.00|5300009113|2007|9200064431|2007|20070301|
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20070401|20070401|A000|THB||1111005642|29000.00|5300013122|2007|9200082817|2007|20070402|
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03|101185|20070501|20070501|A000|THB||1111005642|29000.00|5300018894|2007|9200100734|2007|20070502|
H|AIS|BKK 008|0003|RO|101185|KA|BKK 008   /03||20070901|20070901|A000|THB||1111032132|34000.00|5100005375|2007|5100005375|2007|20070901|
H|AIS|BKK 008|0003|RO|101185|KR|BKK 008   /03||20070901|20070901|A000|THB||1111032132|34000.00|5300042992|2007|5100005375|2007|20070901|
H|AIS|BKK 008|0004|MO|101185|KR|BKK 008   /04|101185|20040601|20040601|A000|THB||1111005642|21315.79|5300032439|2004|9200024994|2004|20040614|4701788
H|AIS|BKK 009|0000|RO|BKK 009|KR|BKK 009||20020603|20020603|A000|THB||1111007840|103155.00|5300026669|2002|9200018859|2002|20020617|
